#Faritany|Faritra|Distrika|nbDeputesPeutEtreElus|Depute|BV|NbVotes
Analamanga|Ampitatafika|Antananarivo Atsimondrano|1|C1|BV101|325
Analamanga|Ampitatafika|Antananarivo Atsimondrano|1|C2|BV101|287
Analamanga|Ampitatafika|Antananarivo Atsimondrano|1|C1|BV102|410
Analamanga|Ampitatafika|Antananarivo Atsimondrano|1|C2|BV102|379
Vakinakaratra|Ambohimena|Antsirabe I|2|C3|BV201|309
Vakinakaratra|Ambohimena|Antsirabe I|2|C4|BV201|585
Vakinakaratra|Ambohimena|Antsirabe I|2|C3|BV202|322
Vakinakaratra|Ambohimena|Antsirabe I|2|C4|BV202|678
Antsinana|Tanambao Verrerie|Toamasina I|2|C5|BV301|200
Antsinana|Tanambao Verrerie|Toamasina I|2|C6|BV301|388
Antsinana|Tanambao Verrerie|Toamasina I|2|C5|BV302|199
Antsinana|Tanambao Verrerie|Toamasina I|2|C6|BV302|410
